,name,CHAL1_ans,CHAL1_txt,Primary cycle code,CHAL1_con,CHAL1_lik,CHAL2_ans,CHAL2_txt,Primary cycle code,CHAL2_con,CHAL2_lik
595,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,To protect environment and myself ,protection of home and family,very confident,likely,yes,I think flood water will rise,risk of flood(s),very confident,likely
596,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,more active,?,very confident,likely,yes,important,to be prepared and protect,very confident,likely
597,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Looking at the chart the numbers seem to fit.,based on the graph,very confident,likely,no,The numbers seem to be the same.,little to no change in risk,very confident,about as likely as not
610,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Make good sense ,logical choice,moderately confident,likely,no,Good ,?,moderately confident,about as likely as not
614,Box_freq,do nothing (protect against 0 heavy rainfall events per year),U can not prodicked the weather ,weather is unpredictable,not at all confident,exceptionally unlikely,no,None ,no comment,moderately confident,about as likely as not
626,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Most stable option ,safe than sorry,extremely confident,virtually certain,yes,Median values are all above 1.9,based on average,extremely confident,very likely
627,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Median is at 2,based on 2 events,moderately confident,very unlikely,no,Don’t need,not needed,moderately confident,virtually certain
634,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I think it's more cost effective to just pay it straight up and not worry anymore. ,fix and forget,extremely confident,virtually certain,yes,It's better to be safe since raining is projected to increase. ,increase in rainfall,extremely confident,virtually certain
636,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Longest lasting option,long lasting,moderately confident,about as likely as not,yes,To protect the house from any future damage,protection of home and family,not at all confident,likely
641,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It doesn’t appear that there will be. Ore than 4 events per year. It’s the most affordable,based on 4 events,moderately confident,unlikely,yes,It’s worth the cost,cost effective,moderately confident,virtually certain
642,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"it offered the best option. High cost up front, but save money in the long run",saves money,extremely confident,virtually certain,yes,excellent coverage,good investment,extremely confident,likely
647,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It lasts longest and requires less maintenance,long lasting,very confident,unlikely,no,Too expensive,too expensive,not very confident,about as likely as not
648,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I'll probably be moving from here in the next 5 years.,likely to move,very confident,very likely,yes,Because it looks like there's significant rain ,high amount of rain,moderately confident,very likely
659,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"With the rain fall increasing over time, it makes the list sense to pay a higher price now for a driveway that will remain stable over 30 years, than to pay over and over as the rain fall increases every year. ",cost benefit analysis,very confident,very likely,yes,"The graph shows an increase in rainfall regardless of emissions as time goes on. The rain that foooded the house was 10 years ago, meaning it’s possible to be up for another flooding, and the median rain fall being 1.9”, which is what it took to flood the house the first time. It’s possible it will rain that much or more over the course of the next several years. ",increase in risk of flood(s),very confident,virtually certain
664,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Don’t know,I don't know,moderately confident,about as likely as not,no,How it goes up,?,very confident,about as likely as not
665,Box_freq,do nothing (protect against 0 heavy rainfall events per year),"Yes, the information in the graph that helped me make my choice was the year 2040",based on the graph,moderately confident,virtually certain,yes,I selected that opinion because I have a lot of floods by my house. ,confusion about personal home,very confident,about as likely as not
678,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I picked my choice based on the graph.,based on the graph,very confident,likely,yes,I would want to avoid flooding.,avoid damage and its costs,very confident,likely
687,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,There's only a few days a year of heavy rainfall,based on 2 events,very confident,likely,yes,For safety purposes ,safe than sorry,extremely confident,likely
697,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It would be the cheapest over the long run,saves money,moderately confident,very likely,yes,"Insurance is always a good thing -- you don't need it until you need it.  Number of days are trending up, making repairs more likely.",to be prepared and protect,very confident,likely
699,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I don't know ,I don't know,moderately confident,about as likely as not,no,I don't know ,I don't know,not at all confident,exceptionally unlikely
729,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It makes better sense,logical choice,moderately confident,likely,yes,Policy is needed in case fllod happens,to be prepared and protect,very confident,likely
731,Box_freq,do nothing (protect against 0 heavy rainfall events per year),It's about the same,little to no change in risk,moderately confident,about as likely as not,no,It doesn't flood around here ,confusion about personal home,extremely confident,exceptionally unlikely
732,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Better to be safe than sorry ,safe than sorry,very confident,virtually certain,yes,The increase in the amount of heavy rainfall events,increase in rainfall,extremely confident,virtually certain
737,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Cheapest over time ,saves money,very confident,very unlikely,yes,None,no comment,very confident,likely
752,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It will control the driveway from erosion not to occur. It will be very good easy passage of water.for,erosion control,extremely confident,likely,yes,The information from the graph shows that there is high tendency that I will be financially protected from flooding through insurance ,to be prepared and protect,very confident,likely
784,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Idk,I don't know,moderately confident,about as likely as not,yes,Idk,I don't know,moderately confident,about as likely as not
788,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,That’s what needs to happen ,to be prepared and protect,not very confident,likely,yes,You always need insurance just in case,safe than sorry,moderately confident,likely
793,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The high rainfall ,high amount of rain,moderately confident,very likely,yes,Heavy rainfall ,high amount of rain,moderately confident,very likely
822,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Goes a long way,long lasting,very confident,likely,yes,There is more rain,increase in rainfall,moderately confident,very likely
823,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Just pay the money all at once to have the solution, instead of putting temporary fixes on and paying out the same amount anyway ",fix and forget,very confident,very likely,yes,Though it’s been repaired it’s still likely to flood again so it’s better to have protection ,to be prepared and protect,very confident,likely
826,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The graph ,based on the graph,moderately confident,likely,yes,The graph helped ,based on the graph,moderately confident,likely
833,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The price seemed good and it sounds like it well last a while,cost effective,extremely confident,unlikely,yes,"Because I said if I bought it, they would be able to repair and fix it",avoid damage and its costs,very confident,very likely
836,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),idk,I don't know,very confident,very likely,yes,the amount of hevy rainfall events,amount of rain,very confident,virtually certain
837,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because you don’t have the logical option of not building a driveway or house on a obvious floodplain ,logical choice,very confident,likely,yes,"I would not on own a house that floods every time it rains, 1.9 inches I would sell it ",likely to move,moderately confident,very likely
840,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,it will try to protect it from heavy rainfalls ,to be prepared and protect,moderately confident,likely,yes,so my home don't be affected by any floods ,avoid damage and its costs,very confident,likely
843,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,"It's the most seemingly cheapest option. I did not use the graph, I can not understand it.",I don't understand,moderately confident,about as likely as not,yes,"To repair the house, I did not use the graph, I can not understand it.",I don't understand,not very confident,about as likely as not
844,Box_freq,do nothing (protect against 0 heavy rainfall events per year),Needs to be a regulated plan,to be prepared and protect,extremely confident,virtually certain,yes,Needs to be a plan ,to be prepared and protect,extremely confident,virtually certain
845,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Do it once and right and it’ll save in the long run,saves money,extremely confident,virtually certain,yes,It is a wet area ,high amount of rain,extremely confident,very likely
851,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Big cost upfront, less cost over time.",saves money,extremely confident,very likely,yes,Just to be safe,safe than sorry,extremely confident,virtually certain
854,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Easiest option,logical choice,extremely confident,virtually certain,yes,Safest option ,safe than sorry,extremely confident,virtually certain
858,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,"The amount of rain will be heavier, so I must protect my family",protection of home and family,very confident,about as likely as not,yes,I cannot afford flood damage that could destroy my home,avoid damage and its costs,very confident,likely
862,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Easier and how the rain seems to be going up,increase in rainfall,very confident,likely,yes,The amount of rain went up,increase in rainfall,very confident,likely
870,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Lower cost with still decent protection ,cost effective,moderately confident,about as likely as not,yes,I would want the protection,to be prepared and protect,extremely confident,likely
873,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It is best to be proactive and get the costs out of the way ,to be prepared and protect,very confident,likely,yes,Insurance saves money in the long run,saves money,very confident,very likely
896,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,would seem necessary to deal with the issue ,to be prepared and protect,not very confident,very likely,no,too costly and dont really need it ,not worth the cost,moderately confident,likely
897,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),You do not have any maintenance fees for thirty years.,low maintenance,extremely confident,very likely,yes,"Even though ten years ago the homeowner paid 25k, prices now are much higher.",history of flood,extremely confident,virtually certain
899,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Its the most reliable option of the 4,logical choice,extremely confident,very unlikely,no,I dont believe the benefits in my area atleast would need that flood insurance.,confusion about personal home,extremely confident,about as likely as not
922,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,If it is proven then it will provide results ,watch and decide later,moderately confident,likely,yes,If I had to take that house then I would want the insurance ,to be prepared and protect,moderately confident,likely
934,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I choice this option because it would vastly improve the driveway conditions and make them better,to be prepared and protect,extremely confident,virtually certain,yes,I think that this would benefit the overall situation,logical choice,extremely confident,very likely
940,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The odds of 120/30 or 4 heavy rains per year keeps getting higher. ,increase in rainfall,very confident,likely,yes,"There is at least 1 day of rainfall exceeding 1.9 per year, and over 30 years it may flood. ",risk of flood(s),moderately confident,likely
942,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,seems the best choice without spending the most money on it,best economic choice,very confident,likely,no,it will cost a lot of money to do so ,too expensive,moderately confident,about as likely as not
944,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,The median number of rainfall days from 2030 and up seems to increase to roughly 2 events per year then remains constant at this mark.,based on average,very confident,likely,yes,The median amount of high number flood days are increasing.,increase in risk of flood(s),very confident,virtually certain
963,Box_freq,do nothing (protect against 0 heavy rainfall events per year),Because the rainfall doesn't affect my driveway,confusion about personal home,extremely confident,virtually certain,no,Because it doesn't rain that bad,low amount of rain,extremely confident,virtually certain
1000,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It’s better to cover more than the 2 estimates it’ll last longer ,based on 2 events,not very confident,very unlikely,yes,Increases in intensity and frequency ,increase in rainfall,very confident,very likely
1002,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),idkl,I don't know,moderately confident,about as likely as not,yes,idk,I don't know,moderately confident,about as likely as not
1006,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,"The frequency and severity of heavy rainfall events are likely to continue to increase in the future, and the total rainfall of heavy rainfall events has also increased.",increase in risk of flood(s),very confident,about as likely as not,yes,Worried about your property being damaged by heavy rain,protection of home and family,very confident,likely
1017,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,a lot of reasons,feels right,extremely confident,likely,yes,too much rainfall,high amount of rain,moderately confident,about as likely as not
1027,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it would just go down the driveway instead of washing away rock,erosion control,extremely confident,very likely,yes,Because you can never be too careful and insurance would help pay for the damage,to be prepared and protect,extremely confident,very likely
1029,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The most cost effective over time,cost effective,extremely confident,very likely,yes,Extra insurance is better than none,safe than sorry,very confident,likely
1037,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because I still don't understand this. I wish you had a video ,I don't understand,moderately confident,very likely,yes,Trends and patterns to be safe,safe than sorry,extremely confident,virtually certain
1038,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I just looked at the information and made an executive deduction through that,logical choice,moderately confident,likely,yes,It’s very important to me that things like that get addressed ,avoid damage and its costs,very confident,very likely
1050,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It seems the most practical for the price,cost effective,very confident,very likely,yes,Better to have the unsurance,to be prepared and protect,very confident,very likely
1051,Box_freq,do nothing (protect against 0 heavy rainfall events per year),lack of mone,?,moderately confident,about as likely as not,no,no money,too expensive,not at all confident,about as likely as not
1060,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),No future expense. ,fix and forget,very confident,very likely,yes,Higher likelihood of rain intensity increasing causing flooding. ,increase in risk of flood(s),moderately confident,very likely
1064,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Because I acknowledge it,?,very confident,likely,yes,To protect,to be prepared and protect,very confident,very likely
1065,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),0 fee to maintain ,low maintenance,extremely confident,very likely,yes,Any damage is covered,avoid damage and its costs,extremely confident,virtually certain
1069,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),So I wouldn't have to worry about it for a long time ,fix and forget,very confident,very likely,yes,Can't afford to pay out of pocket for repairs ,avoid damage and its costs,extremely confident,very likely
1080,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Rarely seemed more than 4,based on 4 events,moderately confident,likely,yes,Seems likely to have enough problems to warrant the cost,cost effective,moderately confident,very likely
1083,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,N/a,no comment,very confident,very likely,yes,It helps predict the future ,based on emissions scenario(s)/ projections,very confident,very likely
1089,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,I selected that option because it was the right one to choose. The information orovided was what helped me decide on my answer. ,the description,moderately confident,unlikely,yes,The graph showed the rainfall for that year which then in turn helped decide what answer I was going to choose ,based on the graph,moderately confident,likely
1090,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,It would hold out better than the basic choice,to be prepared and protect,very confident,about as likely as not,yes,It would pay for all the costs of damages received ,avoid damage and its costs,extremely confident,very likely
1099,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it's the most effective and cost effective,cost effective,extremely confident,very likely,yes,To protect my house in the event of heavy rain,protection of home and family,extremely confident,likely
1104,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because the events are going to increase he needs the protection in his driveway ,increase in rainfall,moderately confident,very likely,yes,Because high likelihood of flooding ,risk of flood(s),moderately confident,virtually certain
1109,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Because the amount of rain is increasing,increase in rainfall,very confident,virtually certain,yes,The likelihood of rainfall increasing ,increase in rainfall,moderately confident,very likely
1112,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),None,no comment,extremely confident,virtually certain,yes,None,no comment,extremely confident,virtually certain
1121,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),It seems like the most logical choice honestly ,logical choice,extremely confident,very likely,yes,If it flooded once it will flood again and if it covers it than why not!?,history of flood,extremely confident,very likely
1129,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,I don't know much about this graph. ,I don't understand,not at all confident,likely,no,I am not sure about this graph.,I don't understand,not very confident,about as likely as not
1131,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),I just don't want the problem to maintain because everyone else like me is in the same situation,fix and forget,very confident,virtually certain,yes,things are projected to get worse,increase in risk of flood(s),moderately confident,virtually certain
1138,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),"It seemed more logical, fix it once",fix and forget,extremely confident,about as likely as not,yes,The amount of rain possible ,amount of rain,extremely confident,about as likely as not
1150,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,Fear of heavy rain,safe than sorry,extremely confident,very likely,yes,Guaranteed,to be prepared and protect,extremely confident,likely
1155,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It’s to help save costs of repairs ,avoid damage and its costs,very confident,very likely,yes,Do I don’t have damages on my house,avoid damage and its costs,very confident,very likely
1157,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,Dont know ,I don't know,moderately confident,about as likely as not,yes,Because right now you need ins for everything now ,to be prepared and protect,not very confident,likely
1159,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),Rain seems like it will increase so paving the driveway makes sure i wont have to fix it every year,increase in rainfall,very confident,likely,yes,likelihood of another flood is high,risk of flood(s),very confident,likely
1170,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),The cost,cost effective,very confident,likely,yes,It would save you money,saves money,very confident,very likely
1177,Box_freq,install basic erosion control measures that protect against 2 heavy rainfall events per year,2 cheaper cost per year ,cost effective,moderately confident,about as likely as not,yes,It's always good to be covered ,to be prepared and protect,moderately confident,about as likely as not
1181,Box_freq,pave the driveway (protect against 120 heavy rainfall events over 30 years),So it lasts longer and is more effective ,long lasting,extremely confident,virtually certain,yes,To cover damages that are likely to happen,avoid damage and its costs,extremely confident,likely
1197,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,It just seems practical,logical choice,moderately confident,very likely,yes,Insurance is. Must in all emergency situations ,to be prepared and protect,very confident,very likely
1201,Box_freq,install improved erosion control measures that protect against 4 heavy rainfall events per year,The data shows that 3 heavy rainfalls are predicted.,freeboard added,very confident,very likely,yes,You can't beat the coverage offered. ,cost effective,very confident,very likely
7,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,The right side,based on emissions scenario(s)/ projections,extremely confident,,no,It makes the most sense to me,logical choice,moderately confident,
8,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Because I would prefer a paved driveway anyway, regardless of the maintenance cost.",advantages it offers,extremely confident,,yes,"The likelihood of an heavy rain event is likely to increase, and there's already been one in the last 10 years.",increase in rainfall,moderately confident,
16,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),the cost to pave,cost effective,not very confident,,no,it does not raine enough,low amount of rain,moderately confident,
23,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),fix & forget,fix and forget,extremely confident,,yes,"rains 1.9 "" per year",based on average,extremely confident,
46,Box_int,do nothing (protect against 0 heavy rainfall events per year),The loss is Minuit ,acceptable damage costs,extremely confident,likely,yes,The graph itself ,based on the graph,very confident,virtually certain
51,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Need it,to be prepared and protect,moderately confident,virtually certain,no,Idk,I don't know,moderately confident,about as likely as not
53,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"There will be more days in the future with heavier rainfall, each repair costs 1K for 7K I can get protection for 120 events over the next 30 years, saving costs in the long run.",cost benefit analysis,extremely confident,likely,yes,that climate change will cause the rainfall to increase and there is quite the potential for another flood that will be equal to or greater than the previous one.,climate change increases risk,very confident,virtually certain
62,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,The weather would change over time,weather is unpredictable,very confident,likely,yes,In case of damage by weather I'll be covered ,avoid damage and its costs,very confident,likely
65,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),At that point i would rather fix the problem,fix and forget,very confident,likely,yes,"We have flooding in our area.  So far, so good. By now itcwould have been paying for nothing. Alot of money",confusion about personal home,moderately confident,about as likely as not
70,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Nothing ,no comment,very confident,likely,yes,Idk,I don't know,very confident,likely
72,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It's the best option ,logical choice,very confident,about as likely as not,no,Cost,too expensive,very confident,about as likely as not
79,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I think a paved driveway has other benefits besides just protection from washouts,advantages it offers,extremely confident,about as likely as not,yes,The cost seemed small compared to the benefits you would get in the event of a flood,cost effective,very confident,very likely
85,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I'm not exactly sure right now,I don't know,moderately confident,about as likely as not,yes,I don't know,I don't know,moderately confident,about as likely as not
86,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),To prevent flood,to be prepared and protect,very confident,likely,yes,Due to climate change it is vulnerable for flood to occure,climate change increases risk,very confident,likely
90,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I will have protection for the $ 1000 and for a $200 refresh yearly I will have a good driveway ,cost benefit analysis,moderately confident,very likely,yes,I think it appears that the likelihood of some flooding is increasing ,increase in risk of flood(s),moderately confident,very likely
94,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Because it protects for 30 yrs the other only protects for less then that,long lasting,moderately confident,likely,yes,Because i dont want the house to flood if idont get it i will definitely pay more money  with this insurance i wont be paying that much better save then sorry.,avoid damage and its costs,extremely confident,likely
96,Box_int,do nothing (protect against 0 heavy rainfall events per year),Don’t live in a flood zone ,not in a flood zone,very confident,about as likely as not,no,Because I’m not in a flood zone ,not in a flood zone,extremely confident,very unlikely
102,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Rainfall will increase ,increase in rainfall,extremely confident,very likely,no,Won’t flood above 2.0 till after 2049,low amount of rain,moderately confident,unlikely
107,Box_int,do nothing (protect against 0 heavy rainfall events per year),Option three and four cost cost te same over 30 years.  The chance o more than four events occurring in the future is very probable.,wrong answer,extremely confident,virtually certain,yes,The medians for all future rainfalls is above 1.9”,based on average,extremely confident,virtually certain
110,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It helps long term.,long lasting,very confident,likely,yes,It would help cover the amount of damage that was already caused and will be caused.,avoid damage and its costs,very confident,very likely
115,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Number of days with expected rainfall,amount of rain,moderately confident,unlikely,yes,Increase in expected rainfall,increase in rainfall,moderately confident,likely
119,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Seemed to be a logical option based on scenario information,logical choice,very confident,about as likely as not,yes,Insurance is risk protection. No need to consult a chart to make a purchase decision.,to be prepared and protect,very confident,very likely
121,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It's shoe on graph ,based on the graph,moderately confident,about as likely as not,no,No because that a waste ,not needed,moderately confident,very likely
126,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,I don't know ,I don't know,extremely confident,very likely,yes,I don't know ,I don't know,extremely confident,very likely
140,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),It’ll be more cost efficient in the long run ,cost effective,extremely confident,virtually certain,no,Because according to FEMA I would be living in a non-flood zone ,not in a flood zone,very confident,about as likely as not
143,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,be prepared for the unexpected ,to be prepared and protect,moderately confident,very likely,yes,always be prepared,to be prepared and protect,very confident,very likely
146,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),"Over the course owing the home, financially it makes more sense to spend the $7000. And have no future cost for maintenance ",low maintenance,very confident,about as likely as not,yes,"One always purchases insurance for protection, home, flood, home warranty, car, and if you rent renters insurance. It is beneficial in the long run, life is unpredictable. ",to be prepared and protect,very confident,about as likely as not
168,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Less money in the long run,saves money,very confident,very likely,no,Because it isnt really in a food area,not in a flood zone,moderately confident,about as likely as not
174,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,For protection of my driveway ,protection of home and family,extremely confident,very likely,yes,To be safe to protect household items,protection of home and family,extremely confident,virtually certain
192,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,I used my brain,feels right,moderately confident,about as likely as not,yes,I used the graphics.,based on the graph,very confident,exceptionally unlikely
195,Box_int,do nothing (protect against 0 heavy rainfall events per year),It seemed ok…,feels right,very confident,very likely,no,Because it seemed right…,feels right,very confident,very likely
211,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Just in case anything happenes,to be prepared and protect,extremely confident,likely,yes,It’s better to be safe ,safe than sorry,very confident,about as likely as not
216,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,This will help the erosion.,erosion control,moderately confident,likely,yes,It appears like a good rate,good investment,moderately confident,likely
221,Box_int,do nothing (protect against 0 heavy rainfall events per year),NOT NECESSARY,not needed,very confident,virtually certain,yes,NO BODY CAN PREDICT MOTHER NATURE ITS ALL GUESSES,weather is unpredictable,moderately confident,virtually certain
228,Box_int,do nothing (protect against 0 heavy rainfall events per year),Nothing ,no comment,moderately confident,likely,no,I don’t live in a flood zone,not in a flood zone,moderately confident,likely
230,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,Model shows about 2 a year,based on 2 events,moderately confident,about as likely as not,yes,Increased rainfall projected ,increase in rainfall,extremely confident,likely
233,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),easier to maintain for its life,low maintenance,moderately confident,about as likely as not,no,that is not to bad for rain,low amount of rain,very confident,unlikely
237,Box_int,install basic erosion control measures that protect against 2 heavy rainfall events per year,it will help you save money so the road won’t get damaged,saves money,moderately confident,about as likely as not,yes,Don’t know what will happen in the future,weather is unpredictable,moderately confident,about as likely as not
241,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),makes more sense,logical choice,extremely confident,likely,yes,statistics,amount of rain,extremely confident,virtually certain
244,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Do it right the first time and don’t worry about it,fix and forget,extremely confident,about as likely as not,yes,Because the normal person can not take I hit like that,avoid damage and its costs,very confident,likely
248,Box_int,do nothing (protect against 0 heavy rainfall events per year),Extra cost aren’t necessary in my state ,confusion about personal home,extremely confident,virtually certain,yes,Insurance ,to be prepared and protect,very confident,about as likely as not
251,Box_int,do nothing (protect against 0 heavy rainfall events per year),No reason ,feels right,moderately confident,about as likely as not,no,No reason ,feels right,moderately confident,about as likely as not
262,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I guessed,feels right,not at all confident,exceptionally unlikely,yes,rainfall is inceasing,increase in rainfall,not very confident,about as likely as not
265,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,n/a,no comment,moderately confident,very unlikely,yes,I'm not sure.,I don't know,very confident,likely
269,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),Mother nature can and will do anything at anytime,weather is unpredictable,extremely confident,very likely,yes,Weather can do whatever it wants to do,weather is unpredictable,extremely confident,very likely
272,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),I think that it would last the longest and need the least upkeep for 30 years ,long lasting,very confident,very likely,yes,According to the above graphs heavy rain fall is forecast.,high amount of rain,very confident,virtually certain
274,Box_int,pave the driveway (protect against 120 heavy rainfall events over 30 years),this is the amount of heavy rainfall over this period,amount of rain,extremely confident,virtually certain,yes,the likely of flooding is increasing,increase in risk of flood(s),moderately confident,likely
286,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,Best option in my opinion ,logical choice,extremely confident,likely,yes,Its better to have it,to be prepared and protect,extremely confident,likely
306,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,safety,safe than sorry,very confident,unlikely,yes,safety,safe than sorry,very confident,very likely
308,Box_int,install improved erosion control measures that protect against 4 heavy rainfall events per year,It seemed to be a conservative option without getting too expensive.,cost effective,not very confident,about as likely as not,yes,Just knowing that there had been a flood previously,history of flood,moderately confident,likely
